Tipologia di intervento,Marca,Modello,Identificativo modello unità esterna,Identificativo modello unità interna,Potenza termica [kWt],COP,Capacità [litri]
2.D,SIC,COMPACT CRE-PEL 275,,COMPACT CRE-PEL 275,"1,95","2,91",275
2.D,SIC,COMPACT CRE-PEP 275,,COMPACT CRE-PEP 275,"1,95","2,91",265
2.D,SIC,COMPACT CRE-PWW 275,,COMPACT CRE-PWW 275,"1,95","2,91",268
2.D,SIME,Ecomaxi VA 110,,Ecomaxi VA 110,"0,85","2,62",110
2.D,SIME,Ecomaxi VA 200,,Ecomaxi VA 200,"2,06","2,64",228
2.D,SIME,Ecomaxi VA 300,,Ecomaxi VA 300,"2,06","2,85",286
2.D,SIME,Ecomaxi VA 300 S,,Ecomaxi VA 300 S,"2,06","2,85",278
2.D,Sime,ECOMAXI VB 200,,ECOMAXI VB 200,"2,40","2,79",200
2.D,SIME,ECOMAXI VB 200 S,,ECOMAXI VB 200 S,"2,40","2,79",200
2.D,Sime,ECOMAXI VB 300,,ECOMAXI VB 300,"2,40","2,97",301
2.D,Sime,ECOMAXI VB 300 S,,ECOMAXI VB 300 S,"2,40","2,97",303
2.D,SINCLAIR,SPLIT WATER HEATERS 185L R410A,SWH-35ERA2,SWH-200IRA2,"3,50","4,10",185
2.D,SINCLAIR,SPLIT WATER HEATERS 185L R410A,SWH-35ERA2,SWH-200DE,"3,50","4,10",185
2.D,SINCLAIR,WATER HEATERS 170L R134A,,SWH-190IRE,"1,62","3,86",176
2.D,SINCLAIR,WATER HEATERS 170L R134A VERSIONE S,,SWH-190IRES,"1,62","3,86",168
2.D,SINCLAIR,WATER HEATERS 280L R134A,,SWH-300IRE,"2,30","4,34",284
2.D,SINCLAIR,WATER HEATERS 280L R134A VERSIONE S,,SWH-300IRES,"2,30","4,34",272
2.D,SOLEX,MAXI 160/L,MAXI 160/L,,"1,82","2,90",160
2.D,SOLEX,MAXI 200/L,MAXI 200/L,,"1,82","3,00",200
2.D,SOLEX,MAXI 200/LS,MAXI 200/LS,,"1,82","3,00",200
2.D,SOLEX,MAXI 260/L,MAXI 260/L,,"1,82","3,10",260
2.D,SOLEX,MAXI 260/LS,MAXI 260/LS,,"1,82","3,10",260
2.D,SOLEX,MAXI 260/LSB,MAXI 260/LSB,,"1,82","3,10",260
2.D,STELBI,PdC PER ACS TECNOEVO BN 200,TECNOEVO BN 200,,"1,87","3,27",228
2.D,STELBI,PdC PER ACS TECNOEVO BN 200 S1,TECNOEVO BN 200 S1,,"1,87","3,27",220
2.D,STELBI,PdC PER ACS TECNOEVO BN 200 S2,TECNOEVO BN 200 S2,,"1,87","3,27",217
2.D,STELBI,PdC PER ACS TECNOEVO BN 300,TECNOEVO BN 300,,"1,87","3,27",286
2.D,STELBI,PdC PER ACS TECNOEVO BN 300 S1,TECNOEVO BN 300 S1,,"1,87","3,27",278
2.D,STELBI,PdC PER ACS TECNOEVO BN 300 S2,TECNOEVO BN 300 S2,,"1,87","3,27",273
2.D,STELBI,PdC PER ACS TECNOEVO EN 100,TECNOEVO EN 100,,"1,87","2,83",100
2.D,Stiebel-Eltron,SHP-A 220 Plus,-,SHP-A 220 Plus,"1,01","2,68",220
2.D,Stiebel-Eltron,SHP-A 300 Plus,-,SHP-A 300 Plus,"1,14","2,79",302
2.D,Stiebel-Eltron,SHP-A 300 X Plus,-,SHP-A 300 X Plus,"1,07","2,75",291
2.D,Stiebel-Eltron,SHP-F 220 Premium,-,SHP-F 220 Premium,"1,08","3,07",220
2.D,Stiebel-Eltron,SHP-F 300 Premium,-,SHP-F 300 Premium,"1,30","3,22",302
2.D,Stiebel-Eltron,SHP-F 300 X Premium,-,SHP-F 300 X Premium,"1,12","2,99",291
2.D,SYLBER,ORIONACQUA 120,,20075574,"0,87","3,10",80
2.D,SYLBER,ORIONACQUA 80,,20075572,"0,87","3,10",80
2.D,SYLBER,ORIONACQUA E 120,,20075577,"0,90","3,10",120
2.D,SYLBER,ORIONACQUA E 80,,20075575,"0,90","3,10",120
2.D,Tekno Point,ZEUS 230-1,,,"1,80","3,00",230
2.D,Tekno Point,ZEUS 300-1,,,"1,80","3,10",300
2.D,Tekno Point,ZEUS 300-2,,,"1,80","3,10",300
2.D,Tekno Point,ZEUS B2 200 WIFI,,,"1,80","3,82",200
2.D,Tekno Point,ZEUS B2 300 WIFI,,,"2,42","3,88",300
2.D,Tekno Point,ZEUS PLUS 230-1,,,"1,80","3,00",230
2.D,Tekno Point,ZEUS PLUS 300-1,,,"1,80","3,10",300
2.D,Tekno Point,ZEUS PLUS 300-2,,,"1,80","3,10",300
2.D,TESY,Aquathermica 200,,HPWH 2.1 200 U 02,"1,10","3,10",200
2.D,TESY,Aquathermica 200 con serpentina,,HPWH 2.1 200 U 02 S,"1,10","3,10",200
2.D,TESY,Aquathermica 300,,HPWH 2.1 260 U 02,"1,20","3,40",300
2.D,TESY,Aquathermica 300 con serpentina,,HPWH 2.1 260 U 02 S,"1,20","3,40",300
2.D,TESY,AquaThermica Compact 100,,HPWH 3.2 100 U 01,"0,93","3,70",100
2.D,TESY,AquaThermica Compact 150,,HPWH 3.2 150 U 01,"0,92","3,90",150
2.D,TESY,AquaThermica Eco 200 LT,,HPWH 3.1 200 U 01,"1,75","3,90",200
2.D,TESY,AquaThermica Eco 200 LT con serpentina aggiuntiva,,HPWH 3.1 200 U 01 S,"1,75","3,90",200
2.D,TESY,AquaThermica Eco 300 LT,,HPWH 3.1 260 U 01,"1,63","3,90",300
2.D,TESY,AquaThermica Eco 300 LT con serpentina aggiuntiva,,HPWH 3.1 260 U 01 S,"1,63","3,90",300
2.D,THERMITAL,THE/HP 120 ACS,,THE/HP 120 ACS,"0,91","2,61",120
2.D,THERMITAL,THE/HP 120 ACS EX,,THE/HP 120 ACS EX,"0,91","2,61",120
2.D,THERMITAL,THE/HP 260 ACS,,20125643,"1,95","2,92",273
2.D,THERMITAL,THE/HP 260 ACS S,,20125644,"1,95","2,92",268
2.D,THERMITAL,THE/HP 260 ACS SC,,20125645,"1,95","2,92",265
2.D,THERMITAL,THE/HP 80 ACS,,THE/HP 80 ACS,"0,93","2,65",80
2.D,THERMITAL,THE/HP 80 ACS EX,,THE/HP 80 ACS EX,"0,93","2,65",80
2.D,TOSHIBA,ESTIA Scaldacqua a pompa di calore,,HWS-G1901CNMR-E,"1,70","3,90",190
2.D,TOSHIBA,ESTIA Scaldacqua a pompa di calore,,HWS-G1901CNRR-E,"1,70","3,90",190
2.D,TOSHIBA,ESTIA Scaldacqua a pompa di calore,,HWS-G1901CNXR-E,"1,70","3,90",190
2.D,TOSHIBA,ESTIA Scaldacqua a pompa di calore,,HWS-G1901ENXR-E,"1,70","3,90",190
2.D,TOSHIBA,ESTIA Scaldacqua a pompa di calore,,HWS-G2601CNMR-E,"1,70","3,87",260
2.D,TOSHIBA,ESTIA Scaldacqua a pompa di calore,,HWS-G2601CNRR-E,"1,70","3,87",260
2.D,TOSHIBA,ESTIA Scaldacqua a pompa di calore,,HWS-G2601CNXR-E,"1,70","3,87",260
2.D,TOSHIBA,ESTIA Scaldacqua a pompa di calore,,HWS-G2601ENXR-E,"1,70","3,87",260
2.D,VAILLANT,aroSTOR VWL B 100/5,--,0010026813,"0,35","2,60",100
2.D,VAILLANT,AROSTOR VWL B 200/5,,0010026816,"0,70","3,19",200
2.D,VAILLANT,AROSTOR VWL B 270/5,,0010026817,"0,70","3,14",270
2.D,VAILLANT,aroSTOR VWL B 290/4,,0010018570,"0,70","3,30",300
2.D,VAILLANT,aroSTOR VWL B 80/5,--,0010026815,"0,35","2,60",80
2.D,VAILLANT,AROSTOR VWL BM 200/5,,0010026818,"0,70","2,99",200
2.D,VAILLANT,AROSTOR VWL BM 270/5,,0010026819,"0,70","3,00",270
2.D,VAILLANT,aroSTOR VWL BM 290/4,,0010018377,"0,70","3,30",290
2.D,VIESSMANN,ENERGYCAL DHW 160,,,"1,82","3,50",160
2.D,VIESSMANN,Energycal DHW 180 l,-,Energycal DHW 180 l,"1,95","2,90",180
2.D,VIESSMANN,Energycal DHW 275 l,-,Energycal DHW 275 l,"1,95","2,90",268
2.D,VIESSMANN,ENERGYCAL DHW 90,,,"1,05","3,00",90
2.D,VIESSMANN,VITOCAL 060-A (profilo L),,,"1,40","3,26",250
2.D,VIESSMANN,VITOCAL 060-A (profilo M),,,"1,40","2,86",178
2.D,VIESSMANN,VITOCAL 060-A (profilo XL),,,"1,40","3,40",250
2.D,VIESSMANN,VITOCAL 060-A T0E-ze 178 l,,,"1,23","2,86",178
2.D,VIESSMANN,VITOCAL 060-A T0E-ze 254 l,,,"1,17","3,23",254
2.D,VIESSMANN,VITOCAL 060-A T0S-ze 251 l,,,"1,17","3,22",251
2.D,VIESSMANN,VITOCAL 161-A,,,"1,67","3,11",308
2.D,VIESSMANN,VITOCAL 262-A,,,"1,40","3,75",291
2.D,VIESSMANN,VITOCAL 262-A T2E-ze,,,"1,17","3,43",298
2.D,VIESSMANN,VITOCAL 262-A T2H-ze,,,"1,17","3,43",291
2.D,WEISHAUPT ITALIA,WWP T 300 WA,,,"1,50","3,60",290
2.D,Wolf,FHS-180-S,,FHS-180-S230V-E2-M2,"3009,00","3,20",166
2.D,Wolf,FHS-280-HE,,FHS-280-HE230V-E2-M2,"3421,00","3,67",258
2.D,Wolf,FHS-280-S,,FHS-280-S230V-E2-M2,"3421,00","3,67",270
