Tipologia,Tipologia funzionamento,Tipologia scambio,Denominazione Commerciale,Marca,Modello,Identificativo modello unità esterna,Identificativo modello unità interna,Potenza termica [kWt],Presenza inverter,COP,GUE,Emissioni NO2
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 232-S,OSW2053MLD0,W2053MLD0,"5,60",SI,"3,90",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O3F3062M2,7+12,"5,60",SI,"3,94",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O3F3062M2,9+9,"5,60",SI,"3,94",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 232-S,OSW2053MLD2,W2053MLD2,"5,60",SI,"4,20",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 232-S Black,OSW2053CLD2,W2053CLD2,"5,60",SI,"4,20",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 232-S Opaco,OSW2053OLD2,W2053OLD2,"5,60",SI,"4,20",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 242-S,OSU2050MHE2,D2050M2,"5,60",SI,"3,95",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O4F3080M2,7+18,"5,90",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O3F3062M2,7+18,"6,00",SI,"3,82",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O3F3062M2,9+12,"6,00",SI,"3,82",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O3F3062M2,12+12,"6,00",SI,"3,82",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-Style,OSDW2050JLD0,W2050JLD0,"6,00",SI,"4,00",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O3F3062M2,7+7+7,"6,50",SI,"4,06",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O3F3062M2,7+7+9,"6,50",SI,"4,06",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O3F3062M2,7+9+9,"6,50",SI,"4,06",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 200-S Comfort,OSW2062BLD0,W2062BLD0,"6,50",SI,"3,95",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O3F3062M2,7+7+12,"6,60",SI,"4,13",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O4F3080M2,9+12,"6,80",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O4F3080M2,12+12,"6,80",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O4F3080M2,9+18,"6,90",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O4F3080M2,12+18,"6,90",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 200-S Comfort,OSW2070PLD0,W2070PLD0,"7,40",SI,"3,90",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 242-S,OSU2071MHE2,FC2071M2,"7,70",SI,"3,95",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 242-S,OSU2071MHE2,D2071M2,"8,00",SI,"4,00",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 242-S,OSU2071MHE2,C2071M2,"8,00",SI,"4,00",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O4F3080M2,7+7+7,"8,30",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O4F3080M2,7+7+9,"8,50",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O4F3080M2,7+7+12,"8,50",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O4F3080M2,7+9+9,"8,50",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O4F3080M2,7+9+12,"8,50",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O4F3080M2,9+9+9,"8,50",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O4F3080M2,9+9+12,"8,50",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O4F3080M2,7+7+18,"8,60",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O4F3080M2,7+9+18,"8,60",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O4F3080M2,7+12+12,"8,60",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O4F3080M2,9+12+12,"8,60",SI,"3,73",,
2.A,Elettrica,Aria/aria,VRF/VRV,VIESSMANN,Vitoclima 333-S,EU-OV3080M1,-,"9,00",SI,"4,74",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O4F3080M2,7+7+7+7,"9,50",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O4F3080M2,7+7+7+9,"9,50",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O4F3080M2,7+7+7+12,"9,50",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O4F3080M2,7+7+9+9,"9,50",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O4F3080M2,7+9+9+9,"9,50",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O4F3080M2,7+7+9+12,"9,60",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+18+18,"11,20",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7K+18K+18K,"11,20",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,9K+12K+18K,"11,35",SI,"3,75",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,9+12+18,"11,40",SI,"3,75",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+7+7+18,"11,50",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+7k+7k+18k,"11,50",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 242-S,OSU2100THE2,D2100M2,"11,50",SI,"4,10",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 242-S,OSU2100THE2,C2100M2,"11,50",SI,"3,90",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 242-S,OSU2100THE2,FC2100M2,"11,50",SI,"3,90",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,12+12+18,"11,60",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,12K+12K+18K,"11,60",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,9K+9K+9K+12K,"11,80",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,9+9+9+12,"11,80",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,9+18+18,"11,90",SI,"3,90",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,9K+18K+18K,"11,90",SI,"3,93",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,12+18+18,"12,00",SI,"3,80",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+9+12+12,"12,00",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+12+12+12,"12,00",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,9+12+12+12,"12,00",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,12+12+12+12,"12,00",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,12K+18K+18K,"12,00",SI,"3,85",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+9k+12k+12k,"12,00",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+12k+12k+12k,"12,00",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,9K+12K+12K+12K,"12,00",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,12K+12K+12K+12K,"12,00",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+7+9+18,"12,10",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+9+9+18,"12,10",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+12+12+18,"12,10",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,9+9+9+18,"12,10",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+7k+9k+18k,"12,10",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+9k+9k+18k,"12,10",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+12k+12k+18k,"12,10",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,9K+9K+9K+18K,"12,10",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,18+18+18,"12,20",SI,"4,06",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+7+12+12,"12,20",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+12+18+18,"12,20",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,9+9+12+12,"12,20",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,18K+18K + 18K,"12,20",SI,"4,06",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+7k+12k+12k,"12,20",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+12k+18k+18k,"12,20",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,9K+9K+12K+12K,"12,20",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,9+9+12+18,"12,30",SI,"3,90",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,9K+9K+12K+18K,"12,30",SI,"3,90",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+9+12+18,"12,40",SI,"3,80",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,9+9+18+18,"12,40",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,9+12+12+18,"12,40",SI,"3,80",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,9K+9K+18K+18K,"12,40",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,9K+12K+12K+18K,"12,40",SI,"3,75",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+9k+12k+18k,"12,40",SI,"3,75",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+7+12+18,"12,50",SI,"3,80",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,9+12+18+18,"12,50",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,12+12+12+18,"12,50",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+7+7+7+7,"12,50",SI,"3,78",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+7k+12k+18k,"12,50",SI,"3,78",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,9K+12K+18K+18K,"12,50",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,12K+12K+12K+18K,"12,50",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+7k+7k+7k+7k,"12,50",SI,"3,78",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+9+18+18,"12,60",SI,"3,80",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+18+18+18,"12,60",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,9+18+18+18,"12,60",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+9k+18k+18k,"12,60",SI,"3,81",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+18k+18k+18k,"12,60",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,9K+18K+18K+18K,"12,60",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,12+12+18+18,"12,70",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,12K+12K+18K+18K,"12,70",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+9k+9k+9k+9k,"12,80",SI,"3,71",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+7+18+18,"12,80",SI,"3,90",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+7+7+7+9,"12,80",SI,"3,77",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+7+7+9+9,"12,80",SI,"3,80",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+9+9+9+9,"12,80",SI,"3,71",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+7k+18k+18k,"12,80",SI,"3,88",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+7k+7k+7k+9k,"12,80",SI,"3,77",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+7k+7k+9k+9k,"12,80",SI,"3,77",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+7k+9k+9k+9k,"12,90",SI,"3,80",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+7+9+9+9,"12,90",SI,"3,80",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+7+7+7+12,"13,00",SI,"3,80",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+7+12+12+12,"13,00",SI,"3,80",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,9+9+9+9+9,"13,00",SI,"3,80",,
2.A,Elettrica,Aria/aria,VRF/VRV,VIESSMANN,Vitoclima 333-S,EU-OV3121M1,-,"13,00",SI,"4,81",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+7k+7k+7k+12k,"13,00",SI,"3,83",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+7k+12k+12k+12k,"13,00",SI,"3,77",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,9k+9k+9k+9k+9k,"13,00",SI,"3,77",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+7k+7k+9k+12k,"13,10",SI,"3,86",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+7+7+9+12,"13,10",SI,"3,90",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+7+12+12+18,"13,10",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+9+12+12+12,"13,10",SI,"3,80",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+12+12+12+12,"13,10",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+7k+12k+12k+18k,"13,10",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+12k+12k+12k+12k,"13,10",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+9k+12k+12k+12k,"13,10",SI,"3,80",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+7+7+7+18,"13,20",SI,"3,90",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+7+7+12+12,"13,20",SI,"3,90",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+7+9+9+12,"13,20",SI,"3,90",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+7+12+18+18,"13,20",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+9+9+9+12,"13,20",SI,"3,80",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+9+9+9+18,"13,20",SI,"3,80",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+9+9+12+12,"13,20",SI,"3,80",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,9+9+9+9+12,"13,20",SI,"3,80",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+7k+12k+18k+18k,"13,20",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+9k+9k+9k+12k,"13,20",SI,"3,83",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+9k+9k+12k+12k,"13,20",SI,"3,83",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,9k+9k+9k+9k+12k,"13,20",SI,"3,83",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+9k+9k+9k+18k,"13,20",SI,"3,83",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+7+7+9+18,"13,30",SI,"3,90",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+7+7+12+18,"13,30",SI,"3,90",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+9+12+12+18,"13,30",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+12+12+12+18,"13,30",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+9k+12k+12k+18k,"13,30",SI,"3,73",,
2.A,Elettrica,aria/aria,split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M3,7k+12k+12k+12k+18k,"13,30",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+7+7+18+18,"13,40",SI,"3,90",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+7+9+9+18,"13,40",SI,"3,90",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+9+9+12+18,"13,40",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,9+9+9+9+18,"13,40",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,9+9+9+12+12,"13,40",SI,"3,90",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+7+9+12+12,"13,50",SI,"3,90",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+7+9+12+18,"13,60",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+9+9+18+18,"13,60",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,9+9+9+12+18,"13,60",SI,"3,80",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,9+9+12+12+12,"13,60",SI,"3,80",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,9+12+12+12+12,"13,60",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,7+7+9+18+18,"13,70",SI,"3,74",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,9+9+9+18+18,"13,70",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,9+9+12+12+18,"13,70",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,9+12+12+12+18,"13,70",SI,"3,73",,
2.A,Elettrica,Aria/aria,Split/multisplit,VIESSMANN,Vitoclima 300-S,O5F3120M2,12+12+12+12+12,"13,80",SI,"3,73",,
2.A,Elettrica,Aria/aria,VRF/VRV,VIESSMANN,Vitoclima 333-S,EU-OV3120M1,,"14,00",SI,"4,28",,
2.A,Elettrica,Aria/aria,VRF/VRV,VIESSMANN,Vitoclima 333-S,EU-OV3120T1,-,"14,00",SI,"4,28",,
2.A,Elettrica,Aria/aria,VRF/VRV,VIESSMANN,Vitoclima 333-S,EU-OV3141M1,-,"16,00",SI,"3,85",,
2.A,Elettrica,Aria/aria,VRF/VRV,VIESSMANN,Vitoclima 333-S,EU-OV3140M1,-,"16,50",SI,"4,18",,
2.A,Elettrica,Aria/aria,VRF/VRV,VIESSMANN,Vitoclima 333-S,EU-OV3140T1,-,"16,50",SI,"3,96",,
2.A,Elettrica,Aria/aria,VRF/VRV,VIESSMANN,Vitoclima 333-S,EU-OV3160M1,-,"18,50",SI,"3,87",,
2.A,Elettrica,Aria/aria,VRF/VRV,VIESSMANN,Vitoclima 333-S,EU-OV3160T1,-,"18,50",SI,"3,96",,
2.A,Elettrica,Aria/aria,VRF/VRV,VIESSMANN,Vitoclima 333-S,EU-OV3224TS2,-,"24,00",SI,"4,90",,
2.A,Elettrica,Aria/aria,VRF/VRV,VIESSMANN,Vitoclima 333-S,EU-OV3224T1,-,"25,00",SI,"5,20",,
2.A,Elettrica,Aria/aria,VRF/VRV,VIESSMANN,Vitoclima 333-S,EU-OVHR3224T1,-,"25,00",SI,"4,75",,
2.A,Elettrica,Aria/aria,VRF/VRV,VIESSMANN,Vitoclima 333-S,EU-OV3280TS2,-,"30,00",SI,"4,90",,
2.A,Elettrica,Aria/aria,VRF/VRV,VIESSMANN,Vitoclima 333-S PRO,EU-OV3280T1PRO,-,"30,18",SI,"4,06",,
2.A,Elettrica,Aria/aria,VRF/VRV,VIESSMANN,Vitoclima 333-S,EU-OV3280T1,-,"31,50",SI,"5,56",,
2.A,Elettrica,Aria/aria,VRF/VRV,VIESSMANN,Vitoclima 333-S,EU-OVHR3280T1,-,"31,50",SI,"4,32",,
2.A,Elettrica,Aria/aria,VRF/VRV,VIESSMANN,Vitoclima 333-S,EU-OV3335TS2,-,"35,00",SI,"4,90",,
2.A,Elettrica,Aria/aria,Split/multisplit,VORTICE,VORT ARTIK 9,65311,65310,"2,80",SI,"3,71",,
