Tipologia,Tipologia funzionamento,Tipologia scambio,Denominazione Commerciale,Marca,Modello,Identificativo modello unità esterna,Identificativo modello unità interna,Potenza termica [kWt],Presenza inverter,COP,GUE,Emissioni NO2
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 100-A 8 kW,AWO-M-AC1 01.A08,,"7,81",SI,"4,38",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-A 201.A13 (monofase),,,"7,85",SI,"4,72",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 300-A AWO-AC B14 (trifase),,,"7,97",SI,5,,
2.A,Elettrica,aria/acqua,aria/acqua,VIESSMANN,Vitocal 150-A .A08,AWO-M-E-AC-AF 08,Vitocal 150-A,"8,00",SI,"4,50",,
2.A,Elettrica,aria/acqua,aria/acqua,VIESSMANN,Vitocal 151-A .A08,AWOT-M-E-AC-AF 08,Vitocal 151-A,"8,00",SI,"4,50",,
2.A,Elettrica,aria/acqua,aria/acqua,VIESSMANN,Vitocal 250-A .A08,AWO-M-E-AC-AF 08,Vitocal 250-A,"8,00",SI,"4,70",,
2.A,Elettrica,aria/acqua,aria/acqua,VIESSMANN,Vitocal 252-A .A08,AWOT-M-E-AC-AF 08,Vitocal 252-A,"8,00",SI,"4,70",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Energycal 08,,,"8,01",SI,"4,33",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 100-S .B08,Vitocal 100-S/Vitocal 111-S,Vitocal 100,"8,10",SI,"4,70",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 111-S .B08,Vitocal 100-S/Vitocal 111-S,Vitocal 111,"8,10",SI,"4,70",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 100-S 08 (monofase),,,"8,2",SI,"4,55",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 111-S 08 (monofase),,,"8,2",SI,"4,55",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-S 201.D13 (trifase),,,"8,61",SI,"4,87",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-A 201.A16 (monofase),,,"8,64",SI,"4,54",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-A 201.A13 (trifase),,,"8,88",SI,"4,99",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-A PRO AA-ID,-,8,"9,00",SI,"4,09",,
2.A,elettrica,aria/acqua,aria/acqua,VIESSMANN,Vitocal 200-S 8 kW,AWB-M-E-AC-AF 201.E08,Vitocal 200-S 8 kW,"9,00",SI,"4,74",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-A PRO AA-ID 8,Vitocal 200-A PRO,Vitocal 200,"9,20",SI,"4,10",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Energycal 10 (monofase),,,10,SI,"4,43",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 100-A 10 kW,AWO-M-AC1 01.A10,,"10,10",SI,"4,43",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-A 201.A16 (trifase),,,"10,11",SI,"4,95",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-S 201.D16 (trifase),,,"10,11",SI,"4,95",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-S 10 (trifase),,,"10,16",SI,"5,08",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 222-S 10 (trifase),,,"10,16",SI,"5,08",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 242-S 10 (trifase),,,"10,16",SI,"5,08",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 250-S 10 (trifase),,,"10,16",SI,"5,08",,
2.A,elettrica,aria/acqua,aria/acqua,VIESSMANN,Vitocal 200-S 10 kW,AWB-M-E-AC-AF 201.E10,Vitocal 200-S 10 kW,"10,40",SI,"4,10",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-S 10 (monofase),,,"10,9",SI,"4,62",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 222-S 10 (monofase),,,"10,9",SI,"4,62",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 242-S 10 (monofase),,,"10,9",SI,"4,62",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 250-S 10 (monofase),,,"10,9",SI,"4,62",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-A PRO AA-ID,-,9,"11,20",SI,"4,00",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-A PRO AA-ID 9,Vitocal 200-A PRO,Vitocal 200,"11,40",SI,"4,00",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 100-S 12 (monofase),,,"11,5",SI,"4,7",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 100-S 12 (trifase),,,"11,5",SI,"4,45",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 111-S 12 (monofase),,,"11,5",SI,"4,7",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 111-S 12 (trifase),,,"11,5",SI,"4,45",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 100-A 12 kW,AWO-M-AC1 01.A12,,"11,80",SI,"4,32",,
2.A,elettrica,aria/acqua,aria/acqua,VIESSMANN,Vitocal 250-A 10 kW,AWO(-M)-E-AC-AF 251.A10,Vitocal 250-A 10 kW,"12,00",SI,"4,40",,
2.A,elettrica,aria/acqua,aria/acqua,VIESSMANN,Vitocal 252-A 10 kW,AWOT(-M)-E-AC-AF 251.A10,Vitocal 252-A 10 kW,"12,00",SI,"4,40",,
2.A,elettrica,aria/acqua,aria/acqua,VIESSMANN,Vitocal 150-A 10 kW,AWO(-M)-E-AC-AF 151.A10,Vitocal 150-A 10 kW,"12,00",SI,"4,40",,
2.A,elettrica,aria/acqua,aria/acqua,VIESSMANN,Vitocal 151-A 10 kW,AWOT(-M)-E-AC-AF 151.A10,Vitocal 151-A 10 kW,"12,00",SI,"4,40",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-S 13 (trifase),,,"12,07",SI,"4,69",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 222-S 13 (trifase),,,"12,07",SI,"4,69",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 242-S 13 (trifase),,,"12,07",SI,"4,69",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 250-S 13 (trifase),,,"12,07",SI,"4,69",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Energycal 12,,,"12,10",SI,"4,19",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-S 201.D10 (monofase),,,"12,60",SI,"4,80",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 222-S 221.C10 (monofase),,,"12,60",SI,"4,80",,
2.A,elettrica,aria/acqua,aria/acqua,VIESSMANN,Vitocal 250-A 13 kW,AWO(-M)-E-AC-AF 251.A13,Vitocal 250-A 13 kW,"13,40",SI,"4,15",,
2.A,elettrica,aria/acqua,aria/acqua,VIESSMANN,Vitocal 252-A 13 kW,AWOT(-M)-E-AC-AF 251.A13,Vitocal 252-A 13 kW,"13,40",SI,"4,15",,
2.A,elettrica,aria/acqua,aria/acqua,VIESSMANN,Vitocal 150-A 13 kW,AWO(-M)-E-AC-AF 151.A13,Vitocal 150-A 13 kW,"13,40",SI,"4,15",,
2.A,elettrica,aria/acqua,aria/acqua,VIESSMANN,Vitocal 151-A 13 kW,AWOT(-M)-E-AC-AF 151.A13,Vitocal 151-A 13 kW,"13,40",SI,"4,15",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 100-S 14 (monofase),,,"13,5",SI,"4,67",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 100-S 14 (trifase),,,"13,5",SI,"4,5",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 111-S 14 (monofase),,,"13,5",SI,"4,67",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 111-S 14 (trifase),,,"13,5",SI,"4,5",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 222-S 221.C10 (trifase),,,"13,60",SI,"4,92",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-S 201.D10 (trifase),,,"13,60",SI,"4,92",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 200-S 201.D13 (monofase),,,"13,70",SI,"4,69",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Vitocal 222-S 221.C13 (monofase),,,"13,70",SI,"4,69",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Energycal 14 (monofase),,,"13,76",SI,"4,3",,
2.A,Elettrica,Aria/acqua,Aria/acqua,VIESSMANN,Energycal 14 T (trifase),,,"13,76",SI,"4,30",,
